伯爵の釵	伯爵の釵
公園の入口に、樹林を背戸に、蓮池を庭に、柳、藤、桜、山吹など、飛々に名に呼ばれた茶店がある。	公園の入口に、樹林を背戸に、蓮池を庭に、柳、藤、桜、山吹など、飛々に名を呼ばれた茶店がある。
紫玉が、いま腰を掛けたのは柳の茶屋というのであった。	紫玉が、いま腰を掛けたのは柳の茶屋と言ふのであつた。
が、紅い襷で、色白な娘が運んだ、煎茶と煙草盆を袖に控えて、さまで嗜むともない、その、伊達に持った煙草入を手にした時、――	が、紅い襷で、色白な娘が運んだ、煎茶と煙草盆を袖に控へて、然まで嗜むともない、其の、伊達に持つた煙草入を手にした時、――
「……あれは女の児だったかしら、それとも男の児だったろうかね。」	「……あれは女の児だつたか知ら、其とも男の児だつたらうかね。」
――と思い出したのはそれである。	――と思ひ出したのは其である。
で、華奢造りの黄金煙管で、余り馴れない、ちと覚束ない手つきして、青磁色の手つきの瀬戸火鉢を探りながら、	で、華奢造りの黄金煙管で、余り馴れない、些と覚束ない手つきして、青磁色の手つきの瀬戸火鉢を探りながら、
「……帽子を……被っていたとすれば、男の児だろうが、青い鉢巻だっけ。	「……帽子を……被つて居たとすれば、男の児だらうが、青い鉢巻だつけ。
……麦藁に巻いた切だったろうか、それともリボンかしら。	……麦藁に巻いた切だつたらうか、其ともリボンか知ら。
色は判然覚えているけど、……お待ちよ、――とこうだから。……」	色は判然覚えて居るけど、……お待ちよ、――と恁うだから。……」
取って着けたような喫み方だから、見ると、ものものしいまでに、打傾いて一口吸って、	取つて着けたやうな喫み方だから、見ると、もの／＼しいまでに、打傾いて一口吸つて、
「……年紀は、そうさね、七歳か六歳ぐらいな、色の白い上品な、……男の児にしてはちと綺麗過ぎるから女の児――だとリボンだね。	「……年紀は、然うさね、七歳か六歳ぐらゐな、色の白い上品な、……男の児にしては些と綺麗過ぎるから女の児――だとリボンだね。
――青いリボン。	――青いリボン。
……幼稚くたって緋と限りもしないわね。	……幼稚くたつて緋と限りもしないわね。
では、やっぱり女の児かしら。	では、矢張り女の児か知ら。
それにしては麦藁帽子……もっともおさげに結ってれば……だけど、そこまでは気が付かない。……」	それにしては麦藁帽子……尤もおさげに結つてれば……だけど、其処までは気が付かない。……」
大通りは一筋だが、道に迷うのも一興で、そこともなく、裏小路へ紛れ込んで、低い土塀から瓜、茄子の畠の覗かれる、荒れ寂れた邸町を一人で通って、まるっきり人に行合わず。	大通りは一筋だが、道に迷ふのも一興で、其処ともなく、裏小路へ紛れ込んで、低い土塀から瓜、茄子の畠の覗かれる、荒れ寂れた邸町を一人で通つて、まるつ切人に行合はず。
白熱した日盛に、よくも羽が焦げないと思う、白い蝶々の、不意にスッと来て、飜々と擦違うのを、吃驚した顔をして見送って、そして莞爾……したり……そうした時は象牙骨の扇でちょっと招いてみたり。	白熱した日盛に、よくも羽が焦げないと思ふ、白い蝶々の、不意にスツと来て、飜々と擦違ふのを、吃驚した顔をして見送つて、そして莞爾……したり……然うした時は象牙骨の扇で一寸招いて見たり。
……土塀の崩屋根を仰いで血のような百日紅の咲満ちた枝を、涼傘の尖で擽ぐる、と堪らない。	……土塀の崩屋根を仰いで血のやうな百日紅の咲満ちた枝を、涼傘の尖で擽ぐる、と堪らない。
とぶるぶるゆさゆさと行るのに、「御免なさい。」	とぶる／＼ゆさ／＼と行るのに、「御免なさい。」
と言ってみたり。	と言つて見たり。
石垣の草蒸に、棄ててある瓜の皮が、化けて脚が生えて、むくむくと動出しそうなのに、「あれ。」	石垣の草蒸に、棄ててある瓜の皮が、化けて脚が生えて、むく／＼と動出しさうなのに、「あれ。」
と飛退いたり。	と飛退いたり。
取留めのないすさびも、この女の人気なれば、話せば逸話に伝えられよう。	取留めのないすさびも、此の女の人気なれば、話せば逸話に伝へられよう。
低い山かと見た、樹立の繁った高い公園の下へ出ると、坂の上り口に社があった。	低い山かと見た、樹立の繁つた高い公園の下へ出ると、坂の上り口に社があつた。
宮も大きく、境内も広かった。	宮も大きく、境内も広かつた。
が、砂浜に鳥居を立てたようで、拝殿の裏崕には鬱々たるその公園の森を負いながら、広前は一面、真空なる太陽に、礫の影一つなく、ただ白紙を敷詰めた光景なのが、日射に、やや黄んで、渺として、どこから散ったか、百日紅の二三点。	が、砂浜に鳥居を立てたやうで、拝殿の裏崕には鬱々たる其の公園の森を負ひながら、広前は一面、真空なる太陽に、礫の影一つなく、唯白紙を敷詰めた光景なのが、日射に、やゝ黄んで、渺として、何処から散つたか、百日紅の二三点。
……覗くと、静まり返った正面の階の傍に、紅の手綱、朱の鞍置いた、つくりものの白の神馬が寂寞として一頭立つ。	……覗くと、静まり返つた正面の階の傍に、紅の手綱、朱の鞍置いた、つくりものの自の神馬が寂寞として一頭立つ。
横に公園へ上る坂は、見透しになっていたから、涼傘のままスッと鳥居から抜けると、紫玉の姿は色のまま鳥居の柱に映って通る。	横に公園へ上る坂は、見透しに成つて居たから、涼傘のまゝスツと鳥居から抜けると、紫玉の姿は色のまゝ鳥居の柱に映つて通る。
……そこに屋根囲した、大なる石の御手洗があって、青き竜頭から湛えた水は、且つすらすらと玉を乱して、颯と簾に噴溢れる。	……其処に屋根囲した、大なる石の御手洗があつて、青き竜頭から湛へた水は、且つすら／＼と玉を乱して、颯と簾に噴溢れる。
その手水鉢の周囲に、ただ一人……その稚児が居たのであった。	其手水鉢の周囲に、唯一人……其の稚児が居たのであつた。
が、炎天、人影も絶えた折から、父母の昼寝の夢を抜出した、神官の児であろうと紫玉は視た。	が、炎天、人影も絶えた折から、父母の昼寝の夢を抜出した、神官の児であらうと紫玉は視た。
ちらちら廻りつつ、廻りつつ、あちこちする。	ちら／＼廻りつゝ、廻りつゝ、彼方此方する。
と、御手洗は高く、稚児は小さいので、下を伝うてまわりを廻るのが、さながら、石に刻んだ形が、噴溢れる水の影に誘われて、すらすらと動くような。	唯、御手洗は高く、稚児は小さいので、下を伝うてまはりを廻るのが、宛然、石に刻んだ形が、噴溢れる水の影に誘はれて、すら／＼と動くやうな。
……と視るうちに、稚児は伸上り、伸上っては、いたいけな手を空に、すらりと動いて、伸上っては、また空に手を伸ばす。	……と視るうちに、稚児は伸上り、伸上つては、いたいけな手を空に、すらりと動いて、伸上つては、又空に手を伸ばす。
紫玉はズッと寄った。	紫玉はズツと寄つた。
稚児はもう涼傘の陰に入ったのである。	稚児は最う涼傘の陰に入つたのである。
「ちょっと……何をしているの。」	「一寸……何をして居るの。」
「水が欲しいの。」	「水が欲しいの。」
と、あどけなく言った。	と、あどけなく言つた。
ああ、それがため足場を取っては、取替えては、手を伸ばす、が爪立っても、青い巾を巻いた、その振分髪、まろが丈は……筒井筒その半にも届くまい。	あゝ、其がため足場を取つては、取替へては、手を伸ばす、が爪立つても、青い巾を巻いた、其の振分髪、まろが丈は……筒井筒其の半にも届くまい。
その御手洗の高い縁に乗っている柄杓を、取りたい、とまた稚児がそう言った。	其の御手洗の高い縁に乗つて居る柄杓を、取りたい、と又｜稚児が然う言つた。
紫玉は思わず微笑んで、	紫玉は思はず微笑んで、
「あら、こうすれば仔細ないよ。」	「あら、恁うすれば仔細はないよ。」
と、半身を斜めにして、溢れかかる水の一筋を、玉の雫に、颯と散らして、赤く燃ゆるような唇に請けた。	と、半身を斜めにして、溢れかゝる水の一筋を、玉の雫に、颯と散らして、赤く燃ゆるやうな唇に請けた。
ちょうど渇いてもいたし、水の潔い事を見たのは言うまでもない。	ちやうど渇いても居たし、水の潔い事を見たのは言ふまでもない。
「ねえ、お前。」	「ねえ、お前。」
稚児が仰いで、熟と紫玉を視て、	稚児が仰いで、熟と紫玉を視て、
「手を浄める水だもの。」	「手を浄める水だもの。」
直接に吻を接るのは不作法だ、と咎めたように聞えたのである。	直接に吻を接るのは不作法だ、と咎めたやうに聞えたのである。
劇壇の女王は、気色した。	劇壇の女王は、気色した。
「いやにお茶がってるよ、生意気な。」	「いやにお茶がつてるよ、生意気な。」
と、軽くその頭を掌で叩き放しに、衝と広前を切れて、坂に出て、見返りもしないで、さてやがてこの茶屋に憩ったのであった。	と、軽く其の頭を掌で叩き放しに、衝と広前を切れて、坂に出て、見返りもしないで、扨てやがて此の茶屋に憩つたのであつた。
今思うと、手を触れた稚児の頭も、女か、男か、不思議にその感覚が残らぬ。	今思ふと、手を触れた稚児の頭も、女か、男か、不思議に其の感覚が残らぬ。
気は涼しかったが、暑さに、いくらか茫としたものかも知れない。	気は涼しかつたが、暑さに、幾干か茫としたものかも知れない。
「娘さん、町から、この坂を上る処に、お宮がありますわね。」	「娘さん、町から、此の坂を上る処に、お宮がありますわね。」
「はい。」	「はい。」
「何と言う、お社です。」	「何と言ふ、お社です。」
「浦安神社でございますわ。」	「浦安神社でございますわ。」
と、片手を畳に、娘は行儀正しく答えた。	と、片手を畳に、娘は行儀正しく答へた。
「何神様が祭ってあります。」	「何神様が祭つてあります。」
「お父さん、お父さん。」	「お父さん、お父さん。」
と娘が、つい傍に、蓮池に向いて、（じんべ）という膝ぎりの帷子で、眼鏡の下に内職らしい網をすいている半白の父を呼ぶと、急いで眼鏡を外して、コツンと水牛の柄を畳んで、台に乗せて、それから向直って、丁寧に辞儀をして、	と娘が、つい傍に、蓮池に向いて、（じんべ）と言ふ膝ぎりの帷子で、眼鏡の下に内職らしい網をすいて居る半白の父を呼ぶと、急いで眼鏡を外して、コツンと水牛の柄を畳んで、台に乗せて、其から向直つて、丁寧に辞儀をして、
「ええ、浦安様は、浦安かれとの、その御守護じゃそうにござりまして。	「えゝ、浦安様は、浦安かれとの、其の御守護ぢやさうにござりまして。
水をばお司りなされます、竜神と申すことでござります。	水をばお司りなされます、竜神と申すことでござります。
これの、太夫様にお茶を替えて上げぬかい。」	これの、太夫様にお茶を替へて上げぬかい。」
紫玉は我知らず衣紋が締った。	紫玉は我知らず衣紋が締つた。
……称えかたは相応わぬにもせよ、拙な山水画の裡の隠者めいた老人までが、確か自分を知っている。	……称へかたは相応はぬにもせよ、拙な山水画の裡の隠者めいた老人までが、確か自分を知つて居る。
心着けば、正面神棚の下には、我が姿、昨夜も扮した、劇中｜女主人公の王妃なる、玉の鳳凰のごときが掲げてあった。	心着けば、正面｜神棚の下には、我が姿、昨夜も扮した、劇中｜女主人公の王妃なる、玉の鳳凰の如きが掲げてあつた。
「そして、……」	「そして、……」
声も朗かに、且つ慎ましく、	声も朗かに、且つ慎ましく、
「竜神だと、女神ですか、男神ですか。」	「竜神だと、女神ですか、男神ですか。」
「さ、さ。」	「さ、さ。」
と老人は膝を刻んで、あたかもこの問を待構えたように、	と老人は膝を刻んで、恰も此の問を待構へたやうに、
「その儀は、とかくに申しまするが、いかがか、いずれとも相分りませぬ。	「其の儀は、とかくに申しまするが、如何か、孰れとも相分りませぬ。
この公園のずッと奥に、真暗な巌窟の中に、一ヶ処清水の湧く井戸がござります。	此の公園のづツと奥に、真暗な巌窟の中に、一ヶ処｜清水の湧く井戸がござります。
古色の夥しい青銅の竜が蟠って、井桁に蓋をしておりまして、金網を張り、みだりに近づいてはなりませぬが、霊沢金水と申して、これがためにこの市の名が起りましたと申します。	古色の夥しい青銅の竜が蟠つて、井桁に蓋をして居りまして、金網を張り、みだりに近づいては成りませぬが、霊沢金水と申して、此がために此の市の名が起りましたと申します。
これが奥の院と申す事で、ええ、貴方様が御意の浦安神社は、その前殿と申す事でござります。	此が奥の院と申す事で、えゝ、貴方様が御意の浦安神社は、其の前殿と申す事でござります。
御参詣を遊ばしましたか。」	御参詣を遊ばしましたか。」
「あ、いいえ。」	「あ、否。」
と言ったが、すぐまた稚児の事が胸に浮んだ。	と言つたが、すぐ又｜稚児の事が胸に浮んだ。
それなり一時言葉が途絶える。	それなり一時言葉が途絶える。
森々たる日中の樹林、濃く黒く森に包まれて城の天守は前に聳ゆる。	森々たる日中の樹林、濃く黒く森に包まれて城の天守は前に聳ゆる。
茶店の横にも、見上るばかりの槐榎の暗い影が樅楓を薄く交えて、藍緑の流に群青の瀬のあるごとき、たらたら上りの径がある。	茶店の横にも、見上るばかりの槐榎の暗い影が樅楓を薄く交へて、藍緑の流に群青の瀬のある如き、たら／＼上りの径がある。
滝かと思う蝉時雨。	滝かと思ふ蝉時雨。
光る雨、輝く木の葉、この炎天の下蔭は、あたかも稲妻に籠る穴に似て、もの凄いまで寂寞した。	光る雨、輝く木の葉、此の炎天の下蔭は、恰も稲妻に籠る穴に似て、もの凄いまで寂寞した。
木下闇、その横径の中途に、空屋かと思う、廂の朽ちた、誰も居ない店がある……	木下闇、其の横径の中途に、空屋かと思ふ、廂の朽ちた、誰も居ない店がある……
鎖してはないものの、奥に人が居て住むかさえ疑わしい。	鎖してはないものの、奥に人が居て住むかさへ疑はしい。
それとも日が暮れると、白い首でも出てちとは客が寄ろうも知れぬ。	其とも日が暮れると、白い首でも出て些とは客が寄らうも知れぬ。
店一杯に雛壇のような台を置いて、いとど薄暗いのに、三方を黒布で張廻した、壇の附元に、流星の髑髏、乾びた蛾に似たものを、点々並べたのは的である。	店｜一杯に雛壇のやうな台を置いて、最ど薄暗いのに、三方を黒布で張廻した、壇の附元に、流星の髑髏、乾びた蛾に似たものを、点々並べたのは的である。
地方の盛場には時々見掛ける、吹矢の機関とは一目｜視て紫玉にも分った。	地方の盛場には時々｜見掛ける、吹矢の機関とは一目視て紫玉にも分つた。
実は――吹矢も、化ものと名のついたので、幽霊の廂合の幕から倒にぶら下がり、見越入道は誂えた穴からヌッと出る。	実は――吹矢も、化ものと名のついたので、幽霊の廂合の幕から倒にぶら下り、見越入道は誂へた穴からヌツと出る。
雪女は拵えの黒塀に薄り立ち、産女鳥は石地蔵と並んでしょんぼり彳む。	雪女は拵への黒塀に薄り立ち、産女鳥は石地蔵と並んで悄乎彳む。
一ツ目小僧の豆腐買は、流灌頂の野川の縁を、大笠を俯向けて、跣足でちょこちょこと巧みに歩行くなど、仕掛ものになっている。	一ツ目小僧の豆腐買は、流灌頂の野川の縁を、大笠を俯向けて、跣足でちよこ／＼と巧みに歩行くなど、仕掛ものに成つて居る。
……いかがわしいが、生霊と札の立った就中小さな的に吹当てると、床板ががらりと転覆って、大松蕈を抱いた緋の褌のおかめが、とんぼ返りをして莞爾と飛出す、途端に、四方へ引張った綱が揺れて、鐘と太鼓がしだらでんで一斉にがんがらん、どんどと鳴って、それで市が栄えた、店なのであるが、一ツ目小僧のつたい歩行く波張が切々に、藪畳は打倒れ、飾の石地蔵は仰向けに反って、視た処、ものあわれなまで寂れていた。	……如何はしいが、生霊と札の立つた就中小さな的に吹当てると、床板がぐわらりと転覆つて、大松蕈を抱いた緋の褌のおかめが、とんぼ返りをして莞爾と飛出す、途端に、四方へ引張つた綱が揺れて、鐘と太鼓がしだらでんで一斉にぐわんぐわらん、どんどと鳴つて、其で市が栄えた、店なのであるが、一ツ目小僧のつたひ歩行く波張が切々に、藪畳は打倒れ、飾の石地蔵は仰向けに反つて、視た処、ものあはれなまで寂れて居た。
――その軒の土間に、背後むきに蹲んだ僧形のものがある。	――其の軒の土間に、背後むきに蹲んだ僧形のものがある。
坊主であろう。	坊主であらう。
墨染の麻の法衣の破れ破れな形で、鬱金ももう鼠に汚れた布に――すぐ、分ったが、――三味線を一｜挺、盲目の琵琶背負に背負っている、漂泊う門附の類であろう。	墨染の麻の法衣の破れ／＼な形で、鬱金も最う鼠に汚れた布に――すぐ、分つたが、――三味線を一｜挺、盲目の琵琶背負に背負つて居る、漂泊ふ門附の類であらう。
何をか働く。	何をか働く。
人目を避けて、蹲って、虱を捻るか、瘡を掻くか、弁当を使うとも、掃溜を探した干魚の骨を舐るに過ぎまい。	人目を避けて、蹲つて、虱を捻るか、瘡を掻くか、弁当を使ふとも、掃溜を探した干魚の骨を舐るに過ぎまい。
乞食のように薄汚い。	乞食のやうに薄汚い。
紫玉は敗竄した芸人と、荒涼たる見世ものに対して、深い歎息を漏らした。	紫玉は敗竄した芸人と、荒涼たる見世ものに対して、深い歎息を漏らした。
且つあわれみ、且つ可忌しがったのである。	且つあはれみ、且つ可忌しがつたのである。
灰吹に薄い唾した。	灰吹に薄い唾した。
この世盛りの、思い上れる、美しき女優は、樹の緑蝉の声も滴るがごとき影に、框も自然から浮いて高い処に、色も濡々と水際立つ、紫陽花の花の姿を撓わに置きつつ、翡翠、紅玉、真珠など、指環を三つ四つ嵌めた白い指をツト挙げて、鬢の後毛を掻いたついでに、白金の高彫の、翼に金剛石を鏤め、目には血膸玉、嘴と爪に緑宝玉の象嵌した、白く輝く鸚鵡の釵――何某の伯爵が心を籠めた贈ものとて、人は知って、（伯爵）と称うるその釵を抜いて、脚を返して、喫掛けた火皿の脂を浚った。	此の世盛りの、思ひ上れる、美しき女優は、樹の緑｜蝉の声も滴るが如き影に、框も自然から浮いて高い処に、色も濡々と水際立つ、紫陽花の花の姿を撓わに置きつゝ、翡翠、紅玉、真珠など、指環を三つ四つ嵌めた白い指をツト挙げて、鬢の後毛を掻いた次手に、白金の高彫の、翼に金剛石を鏤め、目には血膸玉、嘴と爪に緑宝玉の象嵌した、白く輝く鸚鵡の釵――何某の伯爵が心を籠めた贈ものとて、人は知つて、（伯爵）と称ふる其の釵を抜いて、脚を返して、喫掛けた火皿の脂を浚つた。
……伊達の煙管は、煙を吸うより、手すさみの科が多い慣習である。	……伊達の煙管は、煙を吸ふより、手すさみの科が多い慣習である。
三味線背負った乞食坊主が、引掻くようにもぞもぞと肩を揺ると、一眼ひたと盲いた、眇の青ぶくれの面を向けて、こう、引傾って、熟と紫玉のその状を視ると、肩を抽いた杖の尖が、一度胸へ引込んで、前屈みに、よたりと立った。	三味線｜背負つた乞食坊主が、引掻くやうにもぞ／＼と肩を揺ると、一眼ひたと盲ひた、眇の青ぶくれの面を向けて、恁う、引傾つて、熟と紫玉の其の状を視ると、肩を抽いた杖の尖が、一度胸へ引込んで、前屈みに、よたりと立つた。
杖を径に突立て突立て、辿々しく下闇を蠢いて下りて、城の方へ去るかと思えば、のろく後退をしながら、茶店に向って、吻と、立直って一息｜吐く。	杖を径に突立て／＼、辿々しく下闇を蠢いて下りて、城の方へ去るかと思へば、のろく後退をしながら、茶店に向つて、吻と、立直つて一息吐く。
紫玉の眉の顰む時、五間ばかり軒を離れた、そこで早や、此方へぐったりと叩頭をする。	紫玉の眉の顰む時、五｜間ばかり軒を離れた、其処で早や、此方へぐつたりと叩頭をする。
知らない振して、目をそらして、紫玉が釵に俯向いた。	知らない振して、目をそらして、紫玉が釵に俯向いた。
が、濃い睫毛の重くなるまで、坊主の影は近いたのである。	が、濃い睫毛の重く成るまで、坊主の影は近いたのである。
「太夫様。」	「太夫様。」
ハッと顔を上げると、坊主は既に敷居を越えて、目前の土間に、両膝を折っていた。	ハツと顔を上げると、坊主は既に敷居を越えて、目前の土間に、両膝を折つて居た。
「…………」	「…………」
「お願でござります。	「お願でござります。
……お慈悲じゃ、お慈悲、お慈悲。」	……お慈悲ぢや、お慈悲、お慈悲。」
仮初に置いた涼傘が、襤褸法衣の袖に触れそうなので、密と手元へ引いて、	仮初に置いた涼傘が、襤褸法衣の袖に触れさうなので、密と手元へ引いて、
「何ですか。」	「何ですか。」
と、坊主は視ないで、茶屋の父娘に目を遣った。	と、坊主は視ないで、茶屋の父娘に目を遣つた。
立って声を掛けて追おうともせず、父も娘も静に視ている。	立つて声を掛けて追はうともせず、父も娘も静に視て居る。
しばらくすると、この旱に水は涸れたが、碧緑の葉の深く繁れる中なる、緋葉の滝と云うのに対して、紫玉は蓮池の汀を歩行いていた。	少時すると、此の旱に水は涸れたが、碧緑の葉の深く繁れる中なる、緋葉の滝と云ふのに対して、紫玉は蓮池の汀を歩行いて居た。
ここに別に滝の四阿と称うるのがあって、八ツ橋を掛け、飛石を置いて、枝折戸を鎖さぬのである。	こゝに別に滝の四阿と称ふるのがあつて、八ツ橋を掛け、飛石を置いて、枝折戸を鎖さぬのである。
で、滝のある位置は、柳の茶屋からだと、もとの道へ小戻りする事になる。	で、滝のある位置は、柳の茶屋からだと、もとの道へ小戻りする事に成る。
紫玉はあの、吹矢の径から公園へ入らないで、引返したので、……涼傘を投遣りに翳しながら、袖を柔かに、手首をやや硬くして、あすこで抜いた白金の鸚鵡の釵、その翼をちょっと抓んで、きらりとぶら下げているのであるが。	紫玉はあの、吹矢の径から公園へ入らないで、引返したので、……涼傘を投遣りに翳しながら、袖を柔かに、手首をやゝ硬くして、彼処で抜いた白金の鸚鵡の釵、其の翼を一寸抓んで、晃乎とぶら下げて居るのであるが。
仔細は希有な、……	仔細は希有な、……
坊主が土下座して「お慈悲、お慈悲。」	坊主が土下座して「お慈悲、お慈悲。」
で、お願というのが金でも米でもない。	で、お願と言ふのが金でも米でもない。
施与には違いなけれど、変な事には「お禁厭をして遣わされい。	施与には違ひなけれど、変な事には「お禁厭をして遣はされい。
虫歯が疚いて堪え難いでな。」	虫歯が疚いて堪へ難いでな。」
と、成程左の頬がぷくりとうだばれたのを、堪難い状に掌で抱えて、首を引傾けた同じ方の一眼が白くどろんとして潰れている。	と、成程左の頬がぷくりとうだばれたのを、堪難い状に掌で抱へて、首を引傾けた同じ方の一眼が白くどろんとして潰れて居る。
その目からも、ぶよぶよした唇からも、汚い液が垂れそうな塩梅。	其の目からも、ぶよ／＼とした唇からも、汚い液が垂れさうな塩梅。
「お慈悲じゃ。」	「お慈悲ぢや。」
と更に拝んで、「手足に五寸釘を打たりょうとても、かくまでの苦悩はございますまいぞ、お情じゃ、禁厭うて遣わされ。」	と更に拝んで、「手足に五｜寸釘を打たれうとても、恁までの苦悩はございますまいぞ、お情ぢや、禁厭うて遣はされ。」
で、禁厭とは別儀でない。	で、禁厭とは別儀でない。
――その紫玉が手にした白金の釵を、歯のうろへ挿入て欲しいのだと言う。	――其の紫玉が手にした白金の釵を、歯のうろへ挿入て欲しいのだと言ふ。
「太夫様お手ずから。	「太夫様お手づから。
